player_name,acs_delta_avg,team_win_rate,maps,is_igl
ACHRF,3.0164835164835164,0.4835164835164835,91,False
AKIRA,0.0,0.0,2,False
AL7B,0.0,0.3157894736842105,19,False
ANGE1,-22.324557351809084,0.4666666666666667,435,True
AYRIN,-1.1703470031545742,0.5534591194968553,318,False
Abo,-2.856382978723404,0.48947368421052634,190,False
AcMe,0.0,0.4444444444444444,72,False
Addicted,0.6608910891089109,0.5369458128078818,203,False
Adenina,0.0,0.4787234042553192,94,False
Akira,6.117021276595745,0.44680851063829785,47,False
Alessia,0.0,0.5909090909090909,44,False
Alfajer,22.675675675675677,0.4744744744744745,333,False
Allen,-2.599264705882353,0.5220588235294118,136,False
Amaterasu,-1.4479830148619957,0.42356687898089174,314,False
Andrehs,0.0,0.42574257425742573,101,False
Antidote,0.546137339055794,0.43991416309012876,466,False
Aphun,0.0,0.5,54,False
Art,-2.8626126126126126,0.5135135135135135,148,False
B3ASTM0D3,1.4205607476635513,0.48598130841121495,107,False
B3ar,-3.013888888888889,0.375,144,False
BAZZ,0.0,0.48,25,False
BEAST,0.0,0.43157894736842106,190,False
BONECOLD,-35.245726495726494,0.4444444444444444,234,True
BRIAN,5.870967741935484,0.4435483870967742,124,False
Bati,-1.053072625698324,0.4722222222222222,180,False
Bazzi,7.216049382716049,0.37566137566137564,189,False
BeasT,0.0,0.2777777777777778,54,False
Beast,0.0,0.0,6,False
BerLIN,0.0,0.4005305039787798,377,False
Biank,1.6692307692307693,0.4770992366412214,262,False
Blossi,0.0,0.43478260869565216,69,False
Boaster,-33.166484318016046,0.48034934497816595,458,True
Boo,-1.4752475247524752,0.45320197044334976,406,False
Boostio,2.2822293447293447,0.4340425531914894,470,True
Brädi,0.0,0.41818181818181815,55,False
BuZz,23.72218442932729,0.564625850340136,441,False
Buld,0.23715415019762845,0.47035573122529645,253,False
Bullet,0.0,0.6666666666666666,12,False
C0M,-12.85856807511737,0.4624413145539906,426,False
CLZ,0.37535612535612534,0.5213675213675214,234,False
Chrollo,0.0,0.16666666666666666,6,False
Chronicle,10.432148318042815,0.49311926605504586,436,False
Cille,-4.741545893719807,0.46859903381642515,207,False
Cloud,12.678456591639872,0.49038461538461536,312,False
Cloudy,0.0,0.5378151260504201,119,False
Crws,-13.246212121212123,0.49291784702549574,353,False
Daniel0,1.17,0.36,50,False
Dark3st,-0.14507772020725387,0.39276485788113696,387,False
Demiurge,0.0,0.5294117647058824,51,False
Dep,17.170468948035488,0.4490566037735849,265,False
Derke,36.275813008130086,0.4793187347931874,411,False
EduCoz,2.369565217391304,0.5652173913043478,23,False
Electus,0.0,0.5588235294117647,34,False
Ethan,0.6078296703296703,0.5082417582417582,364,False
Faceroll,-11.238095238095237,0.5714285714285714,21,False
Flex1n,2.664285714285714,0.4858490566037736,212,False
GatsH,-0.5604838709677419,0.45161290322580644,124,False
Gio,0.0,0.14285714285714285,7,False
Gloomy,0.0,0.3669724770642202,109,False
Healing,0.0,0.3968253968253968,63,False
Hitch,0.0,0.4430379746835443,158,False
ICEKING,-4.0078125,0.5260416666666666,192,False
Jamppi,7.942645654250239,0.4914772727272727,352,False
Jazzy,0.0,0.6,10,False
JhoW,-50.46989247311828,0.45161290322580644,155,True
Jinggg,20.363053613053612,0.4245939675174014,431,False
Kakarot,0.0,0.5260869565217391,230,False
KenzmPs,0.0,0.3968253968253968,63,False
LBY,-0.05521472392638037,0.4121212121212121,165,False
Laz,6.066548881036513,0.4630281690140845,568,True
Lear,-0.41124260355029585,0.3864306784660767,339,False
Less,2.8222021660649825,0.6064981949458483,277,False
MAGNUM,-0.868971061093248,0.4504792332268371,313,False
MaKo,3.5663358147229114,0.5693069306930693,404,False
Magneto,4.5,0.3888888888888889,18,False
Mazino,-4.675271739130435,0.47554347826086957,368,False
Medusa,0.10926694329183978,0.43983402489626555,241,False
Mistic,-15.829736211031175,0.45215311004784686,418,False
Mixwell,-0.8080357142857143,0.4065281899109792,337,False
Munchkin,6.892130857648099,0.48412698412698413,378,True
Myssen,-13.802208835341364,0.4578313253012048,166,False
NagZ,-8.876151012891345,0.45179063360881544,363,False
Nahsie,0.0,0.44155844155844154,231,False
NaturE,-6.604347826086957,0.45664739884393063,346,False
Ooriime,0.0,0.5111111111111111,45,False
OuTLaW,0.0,0.5031055900621118,161,False
OutLaw,0.0,0.3333333333333333,9,False
Peloncito,-0.6613756613756614,0.4708994708994709,189,False
Rb,5.707351712614871,0.51,400,False
Redgar,-29.536002178649237,0.4886731391585761,309,True
SEIDER,-0.7592233009708739,0.44193548387096776,310,False
SUYGETSU,-3.352442159383034,0.44501278772378516,391,False
Sayf,7.562037037037037,0.49622166246851385,397,False
Shao,1.8181405895691607,0.4650112866817156,443,False
SugarZ3ro,-1.6485849056603774,0.49065420560747663,214,False
Suggest,-1.5076335877862594,0.40458015267175573,131,False
TS,-6.669014084507042,0.39436619718309857,213,False
TZX,0.0,0.56,25,False
UNFAKE,0.0,0.46534653465346537,202,False
Zap,0.0,0.4506172839506173,162,False
Zellsis,5.953346855983773,0.43724696356275305,494,False
Zest,-18.5424506387921,0.5277777777777778,288,False
Zyppan,10.953712480252763,0.47641509433962265,424,False
adverso,-5.850525310410697,0.44126074498567336,349,False
arch,-15.5,0.5021459227467812,233,False
ardiis,8.965336879432623,0.4473684210526316,380,False
artzin,-6.242424242424243,0.48128342245989303,187,False
aspas,26.48507130124777,0.5802139037433155,374,False
bazz,0.0,0.5067567567567568,148,False
benzki,0.0,0.35714285714285715,42,False
blitzeN,2.29126213592233,0.46601941747572817,103,False
boo,0.0,0.0,2,False
bzt,-0.7823529411764706,0.5447470817120622,257,False
cNed,23.25318066157761,0.467005076142132,394,False
cauanzin,-6.648706896551724,0.5043103448275862,232,False
cavern,1.3348214285714286,0.375,112,False
caydeN,-0.3323170731707317,0.43902439024390244,164,False
ceNder,-1.3973214285714286,0.44642857142857145,336,False
chrollo,0.0,0.5159574468085106,188,False
cloud,0.0,0.2857142857142857,7,False
cloudy,0.0,0.5625,16,False
corey,0.803448275862069,0.5102974828375286,437,False
crashies,-12.198347107438016,0.4732510288065844,486,False
crazyguy,2.7016317016317015,0.4340277777777778,288,False
crow,-30.620652173913044,0.5172413793103449,232,False
d4v41,-7.91875,0.4099616858237548,522,False
daiki,0.0,0.31620553359683795,253,False
deigara,0.0,0.43548387096774194,248,False
doma,11.112804878048781,0.43465045592705165,329,False
ease,-2.1907894736842106,0.48026315789473684,152,False
ec1s,-8.605426356589147,0.48847926267281105,217,False
effys,-19.72239263803681,0.41284403669724773,327,False
f0rsakeN,22.9811320754717,0.41353383458646614,532,False
f0rsaken,0.0,1.0,1,False
falltw,0.4121338912133891,0.4393305439330544,239,False
fiziq,-6.260416666666667,0.5241379310344828,435,False
foxz,5.450617283950618,0.47229551451187335,379,True
gaabxx,1.2043650793650793,0.5634920634920635,252,False
gio,0.0,0.41007194244604317,139,False
glovee,-2.998069498069498,0.44061302681992337,261,False
hastack,-0.4827586206896552,0.4827586206896552,29,False
hiroronn,-13.952625570776256,0.4383561643835616,146,False
howlsv,0.0,0.14285714285714285,7,False
iluri,-0.7348242811501597,0.6261980830670927,313,False
jademwah,4.123949579831932,0.42016806722689076,238,False
jawgemo,8.498456790123457,0.48812664907651715,379,False
jduh,0.0,0.4619883040935672,171,False
jeyj7y,-7.296491228070176,0.47719298245614034,285,False
k0rupt,0.0,0.4175824175824176,91,False
kellyS,4.33411214953271,0.5255813953488372,215,False
kenobi,-0.48,0.544,125,False
keznit,21.916941694169417,0.4389438943894389,303,False
leaf,17.09978540772532,0.4603854389721627,467,False
lenne,0.7340823970037453,0.4419475655430712,267,False
m1tez,3.183406113537118,0.43103448275862066,232,False
m4xikk,-2.3142857142857145,0.45714285714285713,35,False
madv,0.0,0.3723404255319149,188,False
mindfreak,-38.311586638830896,0.40124740124740127,481,False
murizzz,-1.6802054154995336,0.4341736694677871,357,True
mwzera,29.528716216216218,0.4175084175084175,297,False
nAts,11.153244120032442,0.4648910411622276,413,False
nAvarro,0.0,0.49,100,False
neth,-5.143779342723004,0.4084507042253521,284,False
nukkye,15.080385852090032,0.42628205128205127,312,False
o0o0o,0.0,0.4342105263157895,152,False
pANcada,-9.96062271062271,0.5431654676258992,278,False
pAura,-8.13063063063063,0.47181008902077154,337,False
pdr,-9.151162790697674,0.3953488372093023,86,False
penny,19.567010309278352,0.4652956298200514,389,False
pleets,-9.003607503607503,0.5,236,True
qpert,-4.872448979591836,0.5510204081632653,98,False
qqGOD,5.262755102040816,0.42857142857142855,196,False
raafa,-0.4158496732026145,0.4264705882352941,204,False
rst,-0.20476190476190476,0.37142857142857144,105,False
sScary,5.907608695652174,0.47696476964769646,369,False
saadhak,-11.584981167608285,0.5589887640449438,356,True
shion,12.993243243243244,0.4750830564784053,301,False
something,5.960304054054054,0.47651006711409394,298,False
soulcas,-6.659111617312073,0.510158013544018,443,False
stax,-18.79133034379671,0.5413870246085011,447,True
suzu,0.0,0.39090909090909093,110,False
valyn,-5.692614770459082,0.42714570858283435,501,False
vanity,-21.436410256410255,0.4369230769230769,325,True
woddy,1.1160714285714286,0.5535714285714286,112,False
xand,6.905555555555556,0.4740740740740741,270,False
xavi8k,-3.422509225092251,0.5294117647058824,272,False
yay,13.076588337684942,0.4453125,384,False
yoman,-2.5870535714285716,0.39285714285714285,224,False
zeddy,1.7923976608187135,0.4444444444444444,342,False
